url,code,name,total_language_data_available,total_students,JK_GR3,GR4_GR6,GR7_GR8,female,male,primary_not_english,living_in_canada_less_than_2_years,living_in_canada_for_3_5_years
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5306,5306,Adam Beck Junior Public School,478,478,311,167,,249,229,84,3,9
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3949,3949,Africentric Alternative School,57,57,30,17,10,23,34,0,0,1
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4312,4312,Agincourt Junior Public School,194,194,99,95,,98,96,170,10,19
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4669,4669,Agnes Macphail Public School,271,271,166,67,38,137,134,233,6,19
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2083,2083,Albion Heights Junior Middle School,458,458,191,115,152,214,244,254,28,53
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5200,5200,Alexander Muir/Gladstone Ave Junior and Senior Public School,504,505,201,106,198,220,283,192,33,23
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4639,4639,Alexander Stirling Public School,336,336,174,89,73,168,168,158,2,13
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4316,4316,Alexmuir Junior Public School,328,328,191,137,,164,164,291,7,18
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5309,5309,Allenby Junior Public School,703,703,414,289,,348,355,190,22,52
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5358,5358,ALPHA Alternative Junior School,71,71,47,24,,40,29,18,0,1
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4805,4805,Alvin Curling Public School,516,516,268,164,84,257,259,399,11,23
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3015,3015,Amesbury Middle School,288,288,,,,150,138,140,6,14
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3010,3010,Ancaster Public School,107,107,74,,,54,53,63,3,5
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5202,5202,Annette Street Junior and Senior Public School,489,489,215,140,134,234,250,85,6,6
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4318,4318,Anson Park Public School,260,260,99,87,74,131,129,174,9,27
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4320,4320,Anson S Taylor Junior Public School,215,215,139,76,,87,128,182,7,26
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3092,3092,Arbor Glen Public School,234,234,179,,,143,91,201,18,42
